Run,Learning Rate,Gamma,Batch Size,Buffer Size,Exploration Fraction,Target Update Interval,Mean Eval Reward,Std Eval Reward,Final Avg Reward,Best Episode Reward,Total Episodes,Train Time (s)
1,0.001,0.99,64,10000,0.2,500,33.095,2.1,31.2,34.69,85,26.6
2,0.0005,0.99,64,10000,0.2,500,36.26,1.8,34.1,36.13,88,26.1
3,0.001,0.9,64,10000,0.2,500,8.967,5.3,7.2,24.75,72,26.6
4,0.001,0.99,128,10000,0.2,500,34.79,1.9,32.8,35.33,83,26.8
5,0.001,0.99,64,50000,0.2,500,34.2,2.2,32.1,33.85,80,27.0
6,0.001,0.99,64,10000,0.1,500,35.818,2.0,33.9,43.04,90,25.9
7,0.0002,0.99,32,10000,0.35,1000,16.287,4.1,14.5,25.44,68,23.3
8,0.001,0.99,256,50000,0.15,1000,31.869,2.8,29.3,41.26,78,31.4
9,0.0005,0.95,128,50000,0.25,750,8.265,5.8,6.1,24.84,71,27.2
10,0.001,0.99,64,10000,0.05,250,29.341,3.1,27.8,43.25,82,24.8
