Run,Learning Rate,Gamma,n_steps,Batch Size,n_epochs,Entropy Coef,Clip Range,Mean Eval Reward,Std Eval Reward,Final Avg Reward,Best Episode Reward,Total Episodes,Train Time (s)
1,0.0003,0.99,2048,64,10,0.01,0.2,11.887,2.8,10.1,14.11,18,51.8
2,0.0001,0.99,2048,64,10,0.01,0.2,1.815,4.1,0.8,15.22,17,51.2
3,0.0003,0.95,2048,64,10,0.01,0.2,9.414,3.0,8.2,12.13,18,51.4
4,0.0003,0.99,512,64,10,0.01,0.2,12.565,2.5,11.3,15.06,68,52.5
5,0.0003,0.99,2048,256,10,0.01,0.2,12.267,2.6,11.1,13.43,19,53.1
6,0.0003,0.99,2048,64,20,0.01,0.2,11.392,2.9,10.2,13.14,18,82.4
7,0.0003,0.99,2048,64,10,0.05,0.2,12.191,2.4,10.8,13.87,18,54.8
8,0.0003,0.99,2048,64,10,0.01,0.3,12.832,2.2,11.4,14.14,18,51.9
9,0.0005,0.99,1024,128,15,0.02,0.2,11.512,2.7,10.3,14.34,35,52.3
10,0.0003,0.99,2048,64,10,0.0,0.2,10.841,3.1,9.7,14.82,18,50.1
