Run,Learning Rate,Gamma,Hidden Dim,Use Baseline,Entropy Coef,Mean Eval Reward,Std Eval Reward,Final Avg Reward,Best Episode Reward,Total Episodes,Train Time (s)
1,0.001,0.99,128,True,0.01,-12.669,4.2,-15.1,6.37,500,33.5
2,0.0005,0.99,128,True,0.01,-8.554,3.8,-10.2,5.99,500,31.8
3,0.001,0.95,128,True,0.01,-8.048,3.5,-9.8,6.44,500,32.5
4,0.001,0.99,256,True,0.01,-5.436,3.1,-6.9,7.47,500,34.7
5,0.001,0.99,64,True,0.01,-3.384,2.9,-4.5,6.8,500,14.4
6,0.002,0.99,128,True,0.01,-13.086,4.5,-15.3,5.63,500,32.9
7,0.001,0.9,128,True,0.01,-11.895,1.218,-10.561,6.051,300,20.0
8,0.0005,0.95,256,False,0.01,-1.0,0.064,7.511,11.924,300,21.1
9,0.001,0.99,128,True,0.05,-1.567,1.57,-7.898,7.584,300,20.0
10,0.0002,0.99,256,True,0.02,3.842,7.594,-8.865,6.869,300,21.8
